iter	Passed	Remaining
0	6	6139
1	11	5532
2	17	5725
3	21	5439
4	26	5255
5	33	5471
6	37	5362
7	42	5256
8	48	5393
9	54	5351
10	59	5338
11	65	5421
12	71	5456
13	77	5441
14	82	5423
15	87	5372
16	92	5359
17	98	5359
18	103	5350
19	109	5372
20	115	5363
21	119	5330
22	125	5344
23	130	5322
24	135	5286
25	141	5299
26	147	5305
27	152	5287
28	158	5303
29	164	5309
30	170	5315
31	176	5338
32	181	5310
33	186	5295
34	192	5312
35	197	5288
36	202	5265
37	208	5274
38	214	5278
39	219	5265
40	225	5276
41	230	5267
42	236	5259
43	243	5283
44	248	5266
45	254	5273
46	259	5256
47	264	5237
48	269	5222
49	275	5235
50	281	5244
51	288	5257
52	293	5249
53	299	5241
54	305	5240
55	309	5222
56	314	5204
57	322	5230
58	327	5220
59	332	5203
60	338	5208
61	343	5193
62	348	5187
63	355	5197
64	360	5184
65	366	5180
66	372	5182
67	378	5181
68	384	5185
69	390	5189
70	397	5196
71	403	5199
72	409	5203
73	416	5211
74	421	5198
75	427	5195
76	434	5202
77	439	5190
78	444	5179
79	453	5219
80	459	5212
81	466	5221
82	473	5227
83	479	5224
84	484	5214
85	490	5210
86	497	5215
87	502	5202
88	507	5199
89	514	5203
90	519	5190
91	525	5188
92	531	5186
93	536	5173
94	542	5170
95	548	5163
96	553	5156
97	560	5162
98	566	5151
99	572	5148
100	578	5152
101	585	5155
102	592	5160
103	597	5148
104	602	5136
105	610	5146
106	616	5142
107	621	5134
108	627	5129
109	632	5117
110	638	5114
111	645	5115
112	650	5104
113	656	5104
114	662	5094
115	667	5086
116	674	5091
117	679	5079
118	685	5076
119	692	5075
120	698	5077
121	706	5082
122	711	5075
123	717	5068
124	723	5066
125	729	5058
126	734	5049
127	739	5039
128	745	5034
129	751	5032
130	757	5022
131	762	5015
132	768	5012
133	774	5002
134	779	4994
135	785	4988
136	791	4984
137	798	4985
138	805	4986
139	810	4978
140	817	4980
141	822	4972
142	828	4963
143	834	4962
144	839	4951
145	844	4940
146	850	4936
147	855	4926
148	861	4921
149	867	4915
150	872	4905
151	878	4901
152	885	4899
153	891	4894
154	898	4898
155	905	4900
156	914	4908
157	920	4903
158	926	4899
159	932	4897
160	938	4892
161	946	4895
162	952	4891
163	959	4888
164	965	4884
165	971	4879
166	978	4879
167	984	4875
168	990	4871
169	997	4869
170	1004	4870
171	1012	4874
172	1019	4872
173	1026	4871
174	1031	4861
175	1036	4852
176	1043	4852
177	1049	4845
178	1054	4838
179	1060	4832
180	1066	4825
181	1071	4817
182	1077	4808
183	1082	4801
184	1089	4799
185	1094	4790
186	1099	4780
187	1106	4779
188	1113	4777
189	1119	4772
190	1125	4768
191	1131	4760
192	1138	4759
193	1143	4750
194	1148	4740
195	1155	4738
196	1160	4731
197	1166	4723
